filename,accuracy,size,correct,length
005275_taylor_1858.png,0.8571428571428571,95,12,14
005275_taylor_1858.png,0.9285714285714286,96,13,14
005275_taylor_1858.png,1.0,97,14,14
005275_taylor_1858.png,1.0,98,14,14
005275_taylor_1858.png,0.9285714285714286,99,13,14
005275_taylor_1858.png,1.0,100,14,14
002524_harry_1859.png,0.0,1,0,19
002524_harry_1859.png,0.0,2,0,19
002524_harry_1859.png,0.0,3,0,19
002524_harry_1859.png,0.0,4,0,19
002524_harry_1859.png,0.0,5,0,19
002524_harry_1859.png,0.0,6,0,19
002524_harry_1859.png,0.0,7,0,19
002524_harry_1859.png,0.0,8,0,19
002524_harry_1859.png,0.0,9,0,19
002524_harry_1859.png,0.0,10,0,19
002524_harry_1859.png,0.0,11,0,19
002524_harry_1859.png,0.0,12,0,19
002524_harry_1859.png,0.0,13,0,19
002524_harry_1859.png,0.0,14,0,19
002524_harry_1859.png,0.05263157894736842,15,1,19
002524_harry_1859.png,0.10526315789473684,16,2,19
002524_harry_1859.png,0.15789473684210525,17,3,19
002524_harry_1859.png,0.10526315789473684,18,2,19
002524_harry_1859.png,0.15789473684210525,19,3,19
002524_harry_1859.png,0.3157894736842105,20,6,19
002524_harry_1859.png,0.42105263157894735,21,8,19
002524_harry_1859.png,0.42105263157894735,22,8,19
002524_harry_1859.png,0.5789473684210527,23,11,19
002524_harry_1859.png,0.5789473684210527,24,11,19
002524_harry_1859.png,0.6842105263157895,25,13,19
002524_harry_1859.png,0.631578947368421,26,12,19
002524_harry_1859.png,0.7894736842105263,27,15,19
002524_harry_1859.png,0.6842105263157895,28,13,19
002524_harry_1859.png,0.8421052631578947,29,16,19
002524_harry_1859.png,0.7368421052631579,30,14,19
002524_harry_1859.png,0.7894736842105263,31,15,19
002524_harry_1859.png,0.8421052631578947,32,16,19
002524_harry_1859.png,0.7368421052631579,33,14,19
002524_harry_1859.png,0.7894736842105263,34,15,19
002524_harry_1859.png,0.8421052631578947,35,16,19
002524_harry_1859.png,0.8947368421052632,36,17,19
002524_harry_1859.png,0.8947368421052632,37,17,19
002524_harry_1859.png,0.8421052631578947,38,16,19
002524_harry_1859.png,0.8421052631578947,39,16,19
002524_harry_1859.png,0.8421052631578947,40,16,19
002524_harry_1859.png,0.8947368421052632,41,17,19
002524_harry_1859.png,0.8421052631578947,42,16,19
002524_harry_1859.png,0.8421052631578947,43,16,19
002524_harry_1859.png,0.8947368421052632,44,17,19
002524_harry_1859.png,0.8947368421052632,45,17,19
002524_harry_1859.png,0.8421052631578947,46,16,19
002524_harry_1859.png,0.8947368421052632,47,17,19
002524_harry_1859.png,0.8421052631578947,48,16,19
002524_harry_1859.png,0.8421052631578947,49,16,19
002524_harry_1859.png,0.8421052631578947,50,16,19
002524_harry_1859.png,0.8947368421052632,51,17,19
002524_harry_1859.png,0.8421052631578947,52,16,19
002524_harry_1859.png,0.8947368421052632,53,17,19
002524_harry_1859.png,0.8421052631578947,54,16,19
002524_harry_1859.png,0.8947368421052632,55,17,19
002524_harry_1859.png,0.8421052631578947,56,16,19
002524_harry_1859.png,0.8421052631578947,57,16,19
002524_harry_1859.png,0.8421052631578947,58,16,19
002524_harry_1859.png,0.7368421052631579,59,14,19
002524_harry_1859.png,0.7894736842105263,60,15,19
002524_harry_1859.png,0.8421052631578947,61,16,19
002524_harry_1859.png,0.8421052631578947,62,16,19
002524_harry_1859.png,0.631578947368421,63,12,19
002524_harry_1859.png,0.6842105263157895,64,13,19
002524_harry_1859.png,0.8947368421052632,65,17,19
002524_harry_1859.png,0.8947368421052632,66,17,19
002524_harry_1859.png,0.8421052631578947,67,16,19
002524_harry_1859.png,0.6842105263157895,68,13,19
002524_harry_1859.png,0.7368421052631579,69,14,19
002524_harry_1859.png,0.7368421052631579,70,14,19
002524_harry_1859.png,0.7368421052631579,71,14,19
002524_harry_1859.png,0.631578947368421,72,12,19
002524_harry_1859.png,0.8947368421052632,73,17,19
002524_harry_1859.png,0.6842105263157895,74,13,19
002524_harry_1859.png,0.7894736842105263,75,15,19
002524_harry_1859.png,0.6842105263157895,76,13,19
002524_harry_1859.png,0.7894736842105263,77,15,19
002524_harry_1859.png,0.631578947368421,78,12,19
